epoch,newton_loss,newton_accuracy,adam_loss,adam_accuracy,sgd_loss,sgd_accuracy
1,2.4516745,0.20876826,2.080496311187744,0.33959639072418213,2.239988088607788,0.16771051287651062
2,2.1522965,0.25539318,1.355047583580017,0.6437021493911743,1.7175593376159668,0.4523312449455261
3,1.9193437,0.33124566,0.9423032402992249,0.7668754458427429,1.3692708015441895,0.6374391317367554
4,1.7288746,0.42519137,0.6727805137634277,0.855949878692627,1.1265093088150024,0.7480862736701965
5,1.5677016,0.52261657,0.4889072775840759,0.9060542583465576,0.9501971006393433,0.7981906533241272
6,1.4279186,0.6109951,0.3704196810722351,0.9345859289169312,0.8160670399665833,0.8246346712112427
7,1.3054647,0.6791928,0.29316607117652893,0.9478079080581665,0.7120159268379211,0.8482950329780579
8,1.1971246,0.7216423,0.24045632779598236,0.9596381187438965,0.6300204992294312,0.8684759736061096
9,1.1006714,0.7557411,0.2044302523136139,0.968684732913971,0.5642961859703064,0.8823938965797424
10,1.0148488,0.7849687,0.1761522889137268,0.974251925945282,0.5112947225570679,0.8949199914932251
11,0.9388343,0.8148921,0.15391753613948822,0.9756436944007874,0.46821877360343933,0.9053583741188049
12,0.8715827,0.82881004,0.13637396693229675,0.9798190593719482,0.4324052929878235,0.9088378548622131
13,0.81210554,0.83576894,0.12244912981987,0.9819067716598511,0.40190842747688293,0.9192762970924377
14,0.7594018,0.84829503,0.11039271205663681,0.9839944243431091,0.3755514919757843,0.9255393147468567
15,0.7126142,0.85942936,0.09993956983089447,0.986082136631012,0.3527907729148865,0.9297146797180176
16,0.67104423,0.8670842,0.09088818728923798,0.98816978931427,0.33265018463134766,0.9304105639457703
17,0.63401467,0.87404317,0.08349985629320145,0.9909533858299255,0.31489378213882446,0.9352818131446838
18,0.6008129,0.8803062,0.07709567993879318,0.9916492700576782,0.29886314272880554,0.9422407746315002
19,0.5710252,0.8893528,0.07074487209320068,0.9916492700576782,0.28445732593536377,0.9457202553749084
20,0.5442159,0.8921364,0.06552118062973022,0.9923451542854309,0.2714243233203888,0.948503851890564
21,0.5199141,0.89979124,0.060568660497665405,0.9930410385131836,0.2596488296985626,0.9519832730293274
22,0.4978406,0.9046625,0.056309688836336136,0.9937369227409363,0.24881252646446228,0.9512873888015747
23,0.4777305,0.91092557,0.052652571350336075,0.9944328665733337,0.23888136446475983,0.9526792168617249
24,0.45929456,0.91510093,0.04905714839696884,0.9958246350288391,0.2297435849905014,0.9540709853172302
25,0.442291,0.9171886,0.046096548438072205,0.9951287508010864,0.2212744802236557,0.9554627537727356
26,0.4265922,0.92066807,0.04290156811475754,0.9965205192565918,0.21340224146842957,0.9568545818328857
27,0.41204572,0.92484343,0.040350884199142456,0.9965205192565918,0.2061951756477356,0.9589422345161438
28,0.3985664,0.9269311,0.038019534200429916,0.9965205192565918,0.19932293891906738,0.9596381187438965
29,0.38602477,0.9290188,0.0358031764626503,0.9965205192565918,0.19293199479579926,0.962421715259552
30,0.37432382,0.93041056,0.03378000110387802,0.9965205192565918,0.18693770468235016,0.9652053117752075
31,0.36336595,0.93110645,0.03158128261566162,0.9965205192565918,0.18130654096603394,0.9665970802307129
32,0.3530841,0.9318024,0.029856493696570396,0.9965205192565918,0.17598983645439148,0.9672929644584656
33,0.34341487,0.93319416,0.02830374985933304,0.9965205192565918,0.1709103137254715,0.9700765609741211
34,0.33433008,0.93389004,0.02665650099515915,0.9972164034843445,0.1661907583475113,0.9700765609741211
35,0.32575795,0.93667364,0.025269923731684685,0.9979122877120972,0.16172322630882263,0.9707724452018738
36,0.31764266,0.9380654,0.02385149896144867,0.9972164034843445,0.15749074518680573,0.9714683294296265
37,0.3099496,0.9394572,0.02259317971765995,0.9979122877120972,0.15347813069820404,0.974251925945282
38,0.3026382,0.9415449,0.021408382803201675,0.9979122877120972,0.14959700405597687,0.974251925945282
39,0.2956771,0.9422408,0.02022729068994522,0.9979122877120972,0.1460219919681549,0.9756436944007874
40,0.2890472,0.94293666,0.01913975365459919,0.9979122877120972,0.14254100620746613,0.9756436944007874
41,0.28274304,0.94293666,0.01827148348093033,0.9979122877120972,0.13933031260967255,0.9777314066886902
42,0.27672055,0.9450244,0.017249546945095062,0.9986082315444946,0.1361657977104187,0.9784272909164429
43,0.2709499,0.94572026,0.016417069360613823,0.9986082315444946,0.13316288590431213,0.9798190593719482
44,0.26541615,0.947112,0.015562234446406364,0.9993041157722473,0.13027489185333252,0.9798190593719482
45,0.2601174,0.9478079,0.014880909584462643,0.9993041157722473,0.12754616141319275,0.9798190593719482
46,0.25504783,0.94919974,0.014148115180432796,0.9993041157722473,0.12490782141685486,0.9798190593719482
47,0.25018272,0.9526792,0.013302745297551155,1.0,0.12232893705368042,0.9798190593719482
48,0.2455118,0.9526792,0.012688078917562962,1.0,0.11992618441581726,0.9798190593719482
49,0.24102275,0.9533751,0.012113832868635654,1.0,0.11757519096136093,0.9812108278274536
50,0.23670632,0.9533751,0.011570976115763187,1.0,0.11531765758991241,0.9812108278274536
